"","Dataset","row_date","Date","DOY","t_ndwi_data","Point","NDWI"
"108","1","X2016_06_11_ndwi",2016-06-11,163,NA,"X41",NA
"109","1","X2016_06_11_ndwi",2016-06-11,163,NA,"X42",NA
"110","1","X2016_06_11_ndwi",2016-06-11,163,NA,"X43",NA
"111","1","X2016_06_11_ndwi",2016-06-11,163,NA,"X44",NA
"112","1","X2016_06_11_ndwi",2016-06-11,163,NA,"X45",NA
"113","1","X2016_06_11_ndwi",2016-06-11,163,NA,"X46",NA
"114","1","X2016_06_11_ndwi",2016-06-11,163,NA,"X47",NA
"115","1","X2016_06_11_ndwi",2016-06-11,163,NA,"X48",NA
"116","1","X2016_06_11_ndwi",2016-06-11,163,NA,"X49",NA
"117","1","X2016_06_11_ndwi",2016-06-11,163,NA,"X50",NA
"118","1","X2016_06_11_ndwi",2016-06-11,163,NA,"X51",NA
"119","1","X2016_06_11_ndwi",2016-06-11,163,NA,"X52",NA
"120","1","X2016_06_11_ndwi",2016-06-11,163,NA,"X53",NA
"121","1","X2016_06_11_ndwi",2016-06-11,163,NA,"X54",NA
"122","1","X2016_06_11_ndwi",2016-06-11,163,NA,"X55",NA
"123","1","X2016_06_11_ndwi",2016-06-11,163,NA,"X56",NA
"124","1","X2016_06_11_ndwi",2016-06-11,163,NA,"X57",NA
"125","1","X2016_06_11_ndwi",2016-06-11,163,NA,"X58",NA
"126","1","X2016_06_11_ndwi",2016-06-11,163,NA,"X59",NA
"127","1","X2016_06_11_ndwi",2016-06-11,163,NA,"X60",NA
"128","1","X2016_06_11_ndwi",2016-06-11,163,NA,"X61",NA
"129","1","X2016_06_11_ndwi",2016-06-11,163,NA,"X62",NA
"130","1","X2016_06_11_ndwi",2016-06-11,163,NA,"X63",NA
"131","1","X2016_06_11_ndwi",2016-06-11,163,NA,"X64",NA
"132","1","X2016_06_11_ndwi",2016-06-11,163,NA,"X65",NA
"133","1","X2016_06_11_ndwi",2016-06-11,163,NA,"X66",NA
"134","1","X2016_06_11_ndwi",2016-06-11,163,NA,"X67",NA
"135","1","X2016_06_18_ndwi",2016-06-18,170,NA,"X1",NA
"136","1","X2016_06_18_ndwi",2016-06-18,170,NA,"X2",NA
"137","1","X2016_06_18_ndwi",2016-06-18,170,NA,"X3",NA
"138","1","X2016_06_18_ndwi",2016-06-18,170,NA,"X4",NA
"139","1","X2016_06_18_ndwi",2016-06-18,170,NA,"X5",NA
"140","1","X2016_06_18_ndwi",2016-06-18,170,NA,"X6",NA
"141","1","X2016_06_18_ndwi",2016-06-18,170,NA,"X7",NA
"142","1","X2016_06_18_ndwi",2016-06-18,170,NA,"X8",NA
"143","1","X2016_06_18_ndwi",2016-06-18,170,NA,"X9",NA
"144","1","X2016_06_18_ndwi",2016-06-18,170,NA,"X10",NA
"145","1","X2016_06_18_ndwi",2016-06-18,170,NA,"X11",NA
"146","1","X2016_06_18_ndwi",2016-06-18,170,NA,"X12",NA
"147","1","X2016_06_18_ndwi",2016-06-18,170,NA,"X13",NA
"148","1","X2016_06_18_ndwi",2016-06-18,170,NA,"X14",NA
"149","1","X2016_06_18_ndwi",2016-06-18,170,NA,"X15",NA
"150","1","X2016_06_18_ndwi",2016-06-18,170,NA,"X16",NA
"151","1","X2016_06_18_ndwi",2016-06-18,170,NA,"X17",NA
"152","1","X2016_06_18_ndwi",2016-06-18,170,NA,"X18",NA
"153","1","X2016_06_18_ndwi",2016-06-18,170,NA,"X19",NA
"154","1","X2016_06_18_ndwi",2016-06-18,170,NA,"X20",NA
"155","1","X2016_06_18_ndwi",2016-06-18,170,NA,"X21",NA
"156","1","X2016_06_18_ndwi",2016-06-18,170,NA,"X22",NA
"157","1","X2016_06_18_ndwi",2016-06-18,170,NA,"X23",NA
"158","1","X2016_06_18_ndwi",2016-06-18,170,NA,"X24",NA
"159","1","X2016_06_18_ndwi",2016-06-18,170,NA,"X25",NA
"160","1","X2016_06_18_ndwi",2016-06-18,170,NA,"X26",NA
"161","1","X2016_06_18_ndwi",2016-06-18,170,NA,"X27",NA
"162","1","X2016_06_18_ndwi",2016-06-18,170,NA,"X28",NA
"163","1","X2016_06_18_ndwi",2016-06-18,170,NA,"X29",NA
"164","1","X2016_06_18_ndwi",2016-06-18,170,NA,"X30",NA
"165","1","X2016_06_18_ndwi",2016-06-18,170,NA,"X31",NA
